,Name,IT Company,Satisfaction Level,Number Of Project,Average Monthly Hours,Time Spend Company ,Work accident ,Left ,Promotion Last Five years ,Department,Salary
8/26/2023,Saanvi Khanna,HCL Technologies,Medium,2,139,3,No,Yes,No,sales,low
8/26/2023,Tanya Sharma,TCS,Low,2,158,3,No,Yes,No,sales,low
8/26/2023,Eeshan Sharma,Oracle,Very High,5,242,5,No,Yes,No,sales,low
8/26/2023,Faizan Ali,IBM,Very High,4,239,5,No,Yes,No,sales,low
8/26/2023,Gopal Singhania,Infosys,Low,2,135,3,No,Yes,No,sales,low
8/26/2023,Harshvardhan Verma,Cognizant,Medium,2,128,3,No,Yes,No,accounting,low
8/26/2023,Ishwar Patel,Tech Mahindra,Low,2,132,3,No,Yes,No,accounting,low
8/26/2023,Urvashi Desai,Accenture,Very Low,6,294,4,No,Yes,No,accounting,low
8/26/2023,Vaishali Dave,IBM,Medium,2,134,3,No,Yes,No,hr,low
8/26/2023,Wamiqa Verma,Tech Mahindra,Low,2,145,3,No,Yes,No,hr,low
8/26/2023,Xena Shetty,Cognizant,Medium,2,140,3,No,Yes,No,hr,low
8/26/2023,Yamini Chakraborty,Oracle,Very High,4,246,6,No,Yes,No,hr,low
8/26/2023,Zaina Khan,Infosys,Very Low,6,255,4,No,Yes,No,technical,low
8/26/2023,Alisha Mathur,Cognizant,Low,2,137,3,No,Yes,No,technical,low
8/26/2023,Bhumika Yadav,Oracle,Medium,2,126,3,No,Yes,No,technical,low
8/26/2023,Vedant Dixit,IBM,Very Low,6,306,4,No,Yes,No,technical,low
8/26/2023,Lavleen Kaur,Cognizant,Medium,2,152,3,No,Yes,No,technical,low
8/26/2023,Mitali Saxena,HCL Technologies,Very High,5,269,5,No,Yes,No,technical,low
8/26/2023,Udayan Shah,,Medium,2,158,3,No,Yes,No,technical,low
8/26/2023,Vaibhav Sharma,Capgemini,Low,2,127,3,No,Yes,No,technical,low
8/26/2023,Oorja Sharma,Wipro,Very Low,7,281,4,No,Yes,No,technical,low
8/26/2023,Zaid Ali,Capgemini,Very Low,6,276,4,No,Yes,No,technical,low
8/26/2023,Rashi Gupta,Accenture,Very High,3,182,4,No,Yes,No,technical,low
8/26/2023,Bharat Patel,Tech Mahindra,Low,2,147,3,No,Yes,No,support,low
8/26/2023,Chirag Sharma,Cognizant,Medium,3,273,6,No,Yes,No,support,low
8/26/2023,Sneha Singh,Oracle,Low,2,148,3,No,Yes,No,support,low
8/26/2023,Trisha Rastogi,Capgemini,Medium,2,147,3,No,Yes,No,support,low
8/26/2023,Urvi Shah,Wipro,Very Low,6,152,2,No,Yes,No,support,low
8/26/2023,Gaurang Patel,HCL Technologies,Medium,2,135,3,No,Yes,No,support,low
8/26/2023,Hitesh Verma,,Low,2,134,3,No,Yes,No,support,low
8/26/2023,Vrinda Dixit,HCL Technologies,Low,2,132,3,No,Yes,No,support,low
8/26/2023,Jai Singhania,IBM,Very Low,7,307,4,No,Yes,No,support,low
8/26/2023,Zainab Sheikh,Cognizant,Low,2,140,3,No,Yes,No,support,low
8/26/2023,Lalit Kumar,IBM,Very Low,7,255,4,No,Yes,No,support,low
8/26/2023,Mayank Patel,Wipro,Very Low,6,309,4,No,Yes,No,technical,low
8/26/2023,Nikhil Gupta,TCS,Low,2,128,3,No,Yes,No,technical,low
8/26/2023,Omkar Sharma,Infosys,Very High,4,225,5,No,Yes,No,technical,low
8/26/2023,Pranav Verma,Cognizant,Very High,5,226,5,No,Yes,No,management,medium
8/26/2023,Qadir Ali,TCS,Very Low,7,308,4,No,Yes,No,IT,medium
8/26/2023,Deepika Singh,Wipro,Very Low,6,244,5,No,Yes,No,IT,medium
8/26/2023,Satvik Singhania,Capgemini,Low,2,132,3,No,Yes,No,IT,medium
8/26/2023,Tarun Patel,Accenture,Very Low,6,286,4,No,Yes,No,IT,medium
8/26/2023,Utsav Shah,Oracle,Very High,6,161,4,No,Yes,No,IT,medium
8/26/2023,Bhakti Patel,TCS,Medium,2,153,3,No,Yes,No,product_mng,medium
8/26/2023,Chitra Iyer,Infosys,Very High,4,264,6,No,Yes,No,product_mng,medium
8/26/2023,Zoya Sheikh,Capgemini,High,5,223,5,Yes,Yes,No,product_mng,medium
8/26/2023,Arnav Gupta,Wipro,Medium,2,135,3,No,Yes,No,product_mng,medium
8/26/2023,Farhana Khan,TCS,High,2,277,3,No,Yes,No,IT,medium
8/26/2023,Gayatri Rao,Tech Mahindra,Very Low,5,275,4,No,Yes,No,product_mng,medium
8/26/2023,Dhiraj Singhania,Accenture,Medium,2,149,3,No,Yes,No,product_mng,high
8/26/2023,Faheem Sheikh,IBM,Very Low,7,295,4,No,Yes,No,product_mng,low
8/26/2023,Gaurav Singh,Tech Mahindra,Very Low,6,277,4,No,Yes,No,product_mng,medium
8/26/2023,Ojaswini Singh,Infosys,Very Low,7,306,4,No,Yes,No,product_mng,medium
8/26/2023,Irfan Ali,Oracle,Very Low,6,295,4,No,Yes,No,product_mng,medium
8/26/2023,Parul Agarwal,Cognizant,Low,2,137,3,No,Yes,No,marketing,medium
8/26/2023,Karan Verma,TCS,Medium,2,157,3,No,Yes,No,sales,low
8/26/2023,Lokesh Patel,Infosys,Low,2,142,3,No,Yes,No,accounting,low
8/26/2023,Manav Sharma,Capgemini,Medium,2,140,3,No,Yes,No,support,low
8/26/2023,Eshani Patel,Wipro,Low,2,151,3,No,Yes,No,technical,low
8/26/2023,Omkar Gupta,Tech Mahindra,High,4,139,3,No,Yes,Yes,management,low
8/26/2023,Kavya Singh,Tech Mahindra,Very High,4,249,6,No,Yes,No,marketing,low
8/26/2023,Qadir Ahmed,Accenture,Very Low,6,291,4,No,Yes,No,marketing,low
8/26/2023,Rajan Verma,IBM,Very Low,6,305,4,No,Yes,No,marketing,low
8/26/2023,Lata Verma,Oracle,Very Low,5,232,3,No,Yes,No,sales,low
8/26/2023,Megha Mehta,Cognizant,Medium,2,132,3,No,Yes,No,sales,low
8/26/2023,Nidhi Reddy,TCS,Low,2,130,3,No,Yes,No,sales,low
8/26/2023,Vipul Patel,Infosys,Very Low,6,291,4,No,Yes,No,sales,low
8/26/2023,Yogesh Gupta,Capgemini,Low,2,130,3,No,Yes,No,sales,low
8/26/2023,Zaid Khan,Wipro,Very High,5,246,5,No,Yes,No,sales,low
8/26/2023,Abhinav Verma,TCS,Medium,2,143,3,No,Yes,No,sales,low
8/26/2023,Jhanvi Gupta,Tech Mahindra,Medium,2,129,3,No,Yes,No,sales,low
8/26/2023,Kavya Nair,Accenture,Very Low,6,255,4,No,Yes,No,sales,low
8/26/2023,Devang Patel,Wipro,Low,2,155,3,No,Yes,No,sales,low
8/26/2023,Eklavya Singhania,Capgemini,Very Low,6,265,4,No,Yes,No,sales,low
8/26/2023,Farhan Ahmed,IBM,Very Low,6,279,4,No,Yes,No,sales,low
8/26/2023,Gopal Verma,Oracle,Very Low,6,284,4,No,Yes,No,sales,low
8/26/2023,Harshvardhan Patel,TCS,Very High,5,221,6,No,Yes,No,sales,medium
8/26/2023,Ishwar Gupta,Infosys,Low,2,154,3,No,Yes,No,sales,medium
8/26/2023,,Capgemini,Low,2,147,3,No,Yes,No,sales,medium
8/26/2023,Kunal Singhania,Cognizant,Medium,2,150,3,No,Yes,No,sales,medium
8/26/2023,Lalit Verma,Oracle,Very Low,7,267,4,No,Yes,No,sales,medium
8/26/2023,Manish Sharma,Tech Mahindra,Medium,2,158,3,No,Yes,No,sales,medium
8/26/2023,Naman Gupta,Accenture,Very Low,7,224,5,No,Yes,No,accounting,medium
8/26/2023,Om Prakash Singh,Oracle,Very High,4,257,5,No,Yes,No,accounting,medium
8/26/2023,Isha Singh,Accenture,Medium,2,148,3,No,Yes,No,accounting,medium
8/26/2023,Qasim Ali,IBM,High,3,177,4,No,Yes,No,hr,medium
8/26/2023,Deepika Patel,Wipro,Low,2,155,3,No,Yes,No,hr,medium
8/26/2023,Ekta Trivedi,Capgemini,Medium,2,144,3,No,Yes,No,hr,medium
8/26/2023,Tapan Shah,Oracle,Very Low,6,289,4,No,Yes,No,hr,high
8/26/2023,Aditi Mehta,TCS,Medium,2,160,3,No,Yes,No,technical,low
8/26/2023,Vaibhav Gupta,Cognizant,Very High,4,258,5,No,Yes,No,technical,medium
8/26/2023,Urvi Patel,IBM,Very High,5,234,5,No,Yes,No,technical,medium
8/26/2023,Vrinda Sengupta,Cognizant,Low,2,137,3,No,Yes,No,technical,medium
8/26/2023,Wafa Siddiqui,Tech Mahindra,Very High,5,263,2,No,Yes,No,technical,medium
8/26/2023,Bharat Singh,Infosys,Very Low,6,251,4,No,Yes,No,technical,low
8/26/2023,Chinmay Gupta,TCS,Low,2,133,3,No,Yes,No,technical,low
8/26/2023,Dhruv Patel,Wipro,Low,2,132,3,No,Yes,No,technical,low
8/26/2023,Eklavya Verma,TCS,Very Low,4,158,4,Yes,Yes,No,technical,low
8/26/2023,Farhan Khan,Infosys,Low,2,135,3,No,Yes,No,technical,low
8/26/2023,Kavya Singh,IBM,High,4,216,6,No,Yes,No,technical,low
8/26/2023,Lavanya Nair,Cognizant,Very Low,6,300,5,Yes,Yes,No,support,low
8/26/2023,Mitali Gupta,Capgemini,Medium,2,138,3,No,Yes,No,support,low
8/26/2023,Jaydeep Singhania,Wipro,Very Low,6,260,4,No,Yes,No,support,low
8/26/2023,Nisha Mehra,Capgemini,Low,2,132,3,No,Yes,No,support,low
8/26/2023,Oorja Patel,Tech Mahindra,High,3,183,5,No,Yes,No,support,low
8/26/2023,Mayank Gupta,Accenture,Very Low,6,250,4,No,Yes,No,support,low
8/26/2023,,Accenture,Low,2,151,3,No,Yes,No,support,low
8/26/2023,Omkar Verma,Oracle,Very Low,6,292,4,No,Yes,No,support,low
8/26/2023,Pranav Singhania,IBM,Low,2,140,3,No,Yes,No,support,low
8/26/2023,Qasim Ahmed,Cognizant,Very High,5,221,5,No,Yes,No,support,low
8/26/2023,Rishikesh Verma,IBM,Medium,2,138,3,No,Yes,No,support,low
8/26/2023,Satvik Gupta,Tech Mahindra,Low,2,132,3,No,Yes,No,technical,low
8/26/2023,Ankit Choudhary,Oracle,Very Low,7,133,5,No,Yes,No,technical,low
8/26/2023,Bhavya Singh,Wipro,Very Low,6,283,4,Yes,Yes,No,technical,low
8/26/2023,Chetan Patel,Infosys,Medium,2,129,3,No,Yes,No,management,low
8/26/2023,Devansh Gupta,TCS,High,4,249,5,No,Yes,No,IT,low
8/26/2023,Eeshan Sharma,Infosys,High,5,257,5,No,Yes,No,IT,low
8/26/2023,Jyoti Sharma,TCS,Very Low,6,245,4,No,Yes,No,IT,low
8/26/2023,Yash Agarwal,Accenture,Medium,2,155,3,No,Yes,No,IT,low
8/26/2023,Zafar Khan,Wipro,Very Low,6,256,4,No,Yes,No,IT,low
8/26/2023,Lavanya Menon,Capgemini,Low,2,152,3,No,Yes,No,product_mng,low
8/26/2023,Varun Kumar,Oracle,Very High,4,267,5,No,Yes,No,product_mng,low
8/26/2023,Vikas Sharma,,Medium,2,151,3,No,Yes,No,product_mng,low
8/26/2023,Gargi Mishra,TCS,High,4,239,5,No,Yes,No,product_mng,low
8/26/2023,Harshita Sharma,Infosys,Very Low,6,306,4,No,Yes,No,IT,low
8/26/2023,Qureshi Begum,Cognizant,Medium,4,215,3,No,No,No,sales,low
8/26/2023,Sahil Singh,Accenture,Very High,2,202,3,No,No,No,sales,low
8/26/2023,Tushar Dubey,Oracle,Medium,5,193,3,No,No,No,sales,low
8/26/2023,Jaya Nair,Capgemini,High,5,247,3,No,No,No,sales,low
8/26/2023,Kavya Reddy,Tech Mahindra,Medium,3,214,2,No,No,No,sales,low
8/26/2023,Pooja Kulkarni,Accenture,Low,3,206,4,No,No,No,sales,low
8/26/2023,Jatin Sharma,IBM,Medium,2,176,2,No,No,No,sales,low
8/26/2023,Kunal Khanna,IBM,Very High,5,136,4,No,No,No,sales,low
8/26/2023,Lalit Verma,Oracle,Medium,6,127,3,No,No,No,sales,low
8/26/2023,Mohit Sharma,Cognizant,High,4,268,3,No,No,No,sales,low
8/26/2023,Naman Gupta,Wipro,Medium,4,258,3,No,No,No,sales,medium
8/26/2023,Omkar Deshmukh,Tech Mahindra,Low,2,136,3,No,No,No,sales,medium
8/26/2023,Prashant Yadav,Infosys,Medium,5,255,6,No,No,No,accounting,medium
8/26/2023,Qasim Ali,Cognizant,High,3,218,3,No,No,No,accounting,medium
8/26/2023,Rajat Kapoor,Capgemini,Medium,3,268,4,No,No,No,accounting,medium
8/26/2023,Oshin Chauhan,Tech Mahindra,Very High,3,224,2,No,No,No,hr,medium
8/26/2023,Trisha Singh,TCS,Very High,3,231,3,No,No,No,hr,medium
8/26/2023,Ishaan Malhotra,Infosys,Medium,6,191,6,No,No,No,hr,medium
8/26/2023,Uma Iyer,Oracle,Very High,4,165,5,No,No,No,hr,medium
8/26/2023,Ekansh Gupta,TCS,Medium,4,252,3,No,No,No,technical,medium
8/26/2023,Farhan Khan,Wipro,High,5,266,2,No,No,No,technical,medium
8/26/2023,Gaurav Singh,Oracle,Very High,5,248,3,No,No,No,technical,medium
8/26/2023,Harsh Joshi,TCS,High,4,144,4,No,No,No,technical,high
8/26/2023,Yamini Singh,Capgemini,Very High,4,174,3,No,No,No,technical,low
8/26/2023,Hiral Shah,Oracle,Very High,4,208,3,No,No,No,technical,medium
8/26/2023,Ishita Verma,Cognizant,High,3,267,3,No,No,No,technical,low
8/26/2023,Chirag Patel,Capgemini,Very High,4,262,4,No,No,No,technical,low
8/26/2023,Dinesh Sharma,IBM,Very High,3,235,3,No,No,No,support,low
8/26/2023,Lavanya Choudhary,Cognizant,High,2,160,4,No,No,No,support,low
8/26/2023,Ajay Kumar,Tech Mahindra,Medium,4,267,4,No,No,No,support,low
8/26/2023,Brijesh Singh,Infosys,High,5,175,4,No,No,No,support,low
8/26/2023,Simran Gupta,TCS,Very High,4,224,2,No,No,No,support,low
8/26/2023,Ishan Sharma,Tech Mahindra,High,4,177,2,No,No,No,support,low
8/26/2023,Jatin Mehta,Wipro,Very Low,6,191,4,No,No,No,support,low
8/26/2023,Mansi Reddy,Capgemini,High,3,138,3,No,No,No,support,low
8/26/2023,Bharat Gupta,Accenture,Medium,3,218,2,Yes,No,No,support,low
8/26/2023,Chetan Patel,Accenture,Medium,3,179,2,Yes,No,No,support,low
8/26/2023,Tanya Shah,IBM,High,3,241,3,No,No,No,support,low
8/26/2023,Rohan Sharma,Oracle,Very High,4,240,3,No,No,No,technical,low
8/26/2023,Sameer Gupta,Oracle,High,3,202,4,No,No,No,technical,low
8/26/2023,Taranjeet Singh,IBM,Low,6,260,3,No,No,No,technical,low
8/26/2023,Utkarsh Gupta,Tech Mahindra,Very High,3,196,3,No,No,No,management,low
8/26/2023,janvi Menon,Accenture,Medium,2,176,3,Yes,No,No,IT,low
8/27/2023,Vani Menon,Cognizant,Very High,2,140,3,No,No,No,IT,low
8/27/2023,Om Prakash,Capgemini,Very High,3,242,2,No,No,No,IT,low
8/27/2023,Priyal surve,Cognizant,Medium,3,279,4,No,No,No,IT,low
8/27/2023,Devyani Sahur,Tech Mahindra,Medium,4,202,3,No,No,No,IT,medium
8/27/2023,Karan Gupta,Tech Mahindra,Medium,5,228,3,No,No,No,product_mng,medium
8/27/2023,janvi gupta,Accenture,High,4,171,3,No,No,No,product_mng,medium
8/27/2023,Rakulpreet,IBM,High,4,153,3,No,No,No,product_mng,medium
8/27/2023,Surabhi Sharma,Oracle,Medium,3,165,3,Yes,No,No,product_mng,medium
8/27/2023,Kalyani Joshi,TCS,Very High,3,182,3,No,No,No,IT,medium
8/27/2023,Prateek Verma,Infosys,Medium,5,239,5,No,No,No,RandD,medium
8/27/2023,Qaisar Ali,Capgemini,Very High,5,231,2,No,No,No,RandD,medium
8/27/2023,Rutuja Surve,Infosys,High,4,255,3,No,No,No,RandD,medium
8/27/2023,Sagar Patel,TCS,High,4,237,2,Yes,No,No,RandD,medium
8/27/2023,Tarun Sharma,TCS,High,3,251,2,No,No,No,RandD,medium
8/27/2023,Uday Kapoor,Wipro,High,4,178,2,No,No,No,marketing,medium
8/27/2023,Nilam Choudhary,Tech Mahindra,Very High,4,148,3,No,No,No,sales,high
8/27/2023,Yash Kumar,Accenture,High,4,240,4,No,No,No,accounting,low
8/27/2023,Jui Shah,Oracle,High,3,269,3,No,No,No,support,medium
8/27/2023,Akshay Tiwari,Oracle,Very High,4,147,3,No,No,No,technical,medium
8/27/2023,Dilpreet Singh,Cognizant,Very Low,3,198,5,No,No,No,management,medium
8/27/2023,Isha Gupta,Wipro,Very High,5,143,3,No,No,No,marketing,medium
8/27/2023,Druvi Patel,Capgemini,Very High,3,238,2,No,No,No,marketing,low
8/27/2023,Eklavya Mishra,Accenture,High,4,213,4,No,No,No,marketing,low
8/27/2023,Farhan Ahmed,IBM,Medium,3,226,3,Yes,No,No,sales,low
8/27/2023,Chavi Sharma,IBM,Very High,3,169,2,Yes,No,No,sales,low
8/27/2023,Aliya Singh,Cognizant,Very High,4,238,2,No,No,No,sales,low
8/27/2023,Ishaan Kapoor,Wipro,Very High,4,202,3,No,No,No,sales,low
8/27/2023,Jai Sharma,Tech Mahindra,Medium,2,205,6,Yes,No,No,sales,low
8/27/2023,Kunjal Singh,Tech Mahindra,Medium,3,111,4,No,No,No,sales,low
8/27/2023,Lalit Singh,Accenture,Medium,4,104,3,No,No,No,sales,low
8/27/2023,Sakshi Choudhary,Oracle,Medium,3,212,3,No,No,No,sales,low
8/27/2023,nilam Singh,IBM,High,4,236,4,No,No,No,sales,low
8/27/2023,Om Prakash,Cognizant,High,5,245,2,Yes,No,No,sales,low
8/27/2023,Pranav Gupta,TCS,Very High,4,267,4,No,No,No,sales,low
8/27/2023,ikra Ali,Wipro,High,5,106,5,No,No,No,sales,low
8/27/2023,babita chakruvarti,Infosys,Very High,5,198,3,No,No,No,sales,low
8/27/2023,Sameer Singh,Oracle,Low,6,239,3,No,No,No,sales,low
8/27/2023,Tushar Sharma,Capgemini,Very Low,5,220,3,No,No,No,sales,low
8/27/2023,Utkarsh Singh,TCS,High,5,224,3,No,No,No,sales,low
8/27/2023,Vipul Kumar,IBM,Very High,3,100,3,No,No,No,sales,low
8/27/2023,Ishanvi Sharma,Wipro,Very Low,4,244,5,No,No,No,sales,low
8/27/2023,Zaid Ahmed,Capgemini,Medium,4,139,3,No,No,No,sales,low
8/27/2023,Aanya Desai,Accenture,Medium,2,152,2,No,No,No,accounting,medium
8/27/2023,Advait Kapoor,Tech Mahindra,Very High,4,208,3,No,No,No,accounting,medium
8/27/2023,Ahana Patel,Accenture,High,5,205,3,No,No,No,accounting,medium
8/27/2023,Aishani Rao,Wipro,High,2,194,6,No,No,No,hr,medium
8/27/2023,Akash Sharma,IBM,Very Low,3,209,5,No,No,No,hr,medium
8/27/2023,Alisha Gupta,Accenture,Medium,3,212,3,No,No,No,hr,medium
8/27/2023,Amara Choudhury,Oracle,Medium,2,151,3,No,No,No,hr,medium
8/27/2023,Amaya Iyer,IBM,Medium,4,282,6,No,No,No,technical,medium
8/27/2023,Anika Reddy,Cognizant,Very High,4,256,3,No,No,No,technical,medium
8/27/2023,Arnav Kumar,Infosys,Very High,2,185,3,Yes,No,No,technical,medium
8/27/2023,Arya Bhatia,TCS,High,5,132,3,No,No,No,technical,medium
8/27/2023,Ashwin Nair,TCS,High,5,233,3,No,No,No,technical,medium
8/27/2023,Avani Joshi,Infosys,Medium,4,215,2,No,No,No,technical,high
8/27/2023,Ayush Verma,Tech Mahindra,Very High,3,220,4,No,No,No,technical,low
8/27/2023,Chetana Malhotra,Capgemini,Very Low,6,222,3,No,No,No,technical,medium
8/27/2023,Darshan Shah,TCS,Very Low,5,182,2,No,No,No,technical,medium
8/27/2023,Devika Singh,Infosys,Very Low,5,258,4,No,No,No,technical,medium
8/27/2023,Disha Agrawal,Wipro,High,3,209,2,No,No,No,technical,medium
8/27/2023,Ekansh Agarwal,TCS,Very High,3,242,2,No,No,No,support,low
8/27/2023,Esha Bhandari,Capgemini,Medium,4,155,3,Yes,No,No,support,low
8/27/2023,Gauri Mehta,Accenture,High,5,104,4,No,No,No,support,low
8/27/2023,Harshita Rana,Accenture,Very High,4,201,3,Yes,No,No,support,low
8/27/2023,Ira Sharma,Oracle,Very High,5,143,3,No,No,No,support,low
8/27/2023,Ishanvi Chauhan,IBM,Very High,5,161,3,Yes,No,No,support,low
8/27/2023,Jiya Bansal,Cognizant,Medium,4,200,2,No,No,No,support,low
8/27/2023,Kavya Khanna,Infosys,Very High,4,255,2,No,No,No,support,low
8/27/2023,Kiara Mishra,Capgemini,Low,5,227,2,No,No,No,support,low
8/27/2023,Manan Patel,Capgemini,Medium,3,270,6,No,No,No,support,low
8/27/2023,Navya Das,Capgemini,High,5,230,3,No,No,No,support,low
8/27/2023,Niyati Sharma,Wipro,High,5,270,3,Yes,No,No,technical,low
8/27/2023,Omkar Saxena,Tech Mahindra,Very High,4,200,3,No,No,No,technical,low
8/27/2023,Prisha Kapoor,TCS,Medium,5,207,3,No,No,No,technical,low
8/27/2023,Rishabh Shah,Wipro,High,5,182,3,No,No,No,management,low
8/27/2023,Saisha Gupta,Tech Mahindra,High,4,234,3,No,No,No,IT,low
8/27/2023,Samaira Sethi,Accenture,High,4,237,2,No,No,No,IT,low
8/27/2023,Shivansh Malik,Oracle,Very High,4,187,2,Yes,No,No,IT,low
8/27/2023,Suhani Patel,IBM,High,3,257,6,No,No,No,IT,low
8/27/2023,Tanay Chawla,Cognizant,Medium,2,194,2,No,No,No,IT,low
8/27/2023,Trisha Mohan,Infosys,High,4,162,3,No,No,No,product_mng,low
8/27/2023,Vanya Singh,Cognizant,High,4,148,2,No,No,No,product_mng,medium
8/27/2023,Yashvi Rastogi,Tech Mahindra,Medium,4,210,2,No,No,No,product_mng,medium
8/27/2023,Yuvraj Menon,Infosys,Medium,3,213,2,Yes,No,No,product_mng,medium
8/27/2023,Zara Agnihotri,TCS,High,4,189,2,Yes,No,No,IT,medium
8/27/2023,Aarush Kapoor,Accenture,Very High,4,185,2,No,No,No,RandD,medium
8/27/2023,Aarna Reddy,Oracle,High,3,186,2,Yes,No,No,RandD,medium
8/27/2023,Aditi Jain,IBM,High,3,128,3,No,No,No,RandD,medium
8/27/2023,Ahaan Mehta,Cognizant,Medium,4,268,3,No,No,No,RandD,medium
8/27/2023,Akshara Rao,Infosys,High,3,213,3,Yes,No,No,RandD,medium
8/27/2023,Amrita Sharma,Capgemini,High,4,142,2,No,No,No,marketing,medium
8/27/2023,Ananya Gupta,Oracle,Medium,2,199,2,No,No,No,sales,medium
8/27/2023,Anushka Verma,Wipro,High,4,157,2,No,No,No,accounting,medium
8/27/2023,Atharv Patel,Tech Mahindra,High,5,172,2,Yes,No,No,support,high
8/27/2023,Avishi Singh,Accenture,High,3,176,3,Yes,No,No,technical,low
8/27/2023,Avyaan Sharma,Oracle,Low,2,183,2,No,No,No,management,medium
8/27/2023,Ayanna Kapoor,Oracle,Very High,4,270,2,No,No,No,marketing,medium
8/27/2023,Bhavya Patel,TCS,Very High,5,157,4,Yes,No,No,marketing,medium
8/27/2023,Divya Sharma,Wipro,Very High,4,185,3,No,No,No,marketing,medium
8/27/2023,Eeshan Gupta,Accenture,Very High,3,167,3,No,No,No,sales,low
8/27/2023,Grishma Joshi,Wipro,Low,5,226,5,No,No,No,sales,low
8/27/2023,Hansika Malhotra,Capgemini,High,3,223,4,No,No,No,sales,low
8/27/2023,Ishaan Srinivasan,Capgemini,High,3,257,3,No,No,No,sales,low
8/27/2023,Ishika Chauhan,TCS,High,4,143,3,No,No,No,sales,low
8/27/2023,Jia Bajaj,Wipro,Very High,4,265,6,No,Yes,No,sales,low
8/27/2023,Kashvi Khanna,Tech Mahindra,Very Low,6,250,4,No,Yes,No,sales,low
8/27/2023,Krishiv Mehra,Wipro,Very High,5,251,6,No,Yes,No,sales,low
8/27/2023,Lavanya Singh,Oracle,High,4,246,5,No,Yes,No,sales,low
8/27/2023,Maanvi Kapoor,Infosys,High,5,275,5,No,Yes,No,sales,low
8/27/2023,Mannat Das,Capgemini,Very High,5,240,5,No,Yes,No,sales,low
8/27/2023,Muskaan Agarwal,TCS,High,5,245,5,No,Yes,No,sales,low
8/27/2023,Nandini Iyer,Tech Mahindra,Medium,4,254,4,No,Yes,No,sales,low
8/27/2023,Navin Rana,Tech Mahindra,High,5,241,5,No,Yes,No,sales,low
8/27/2023,Niharika Saxena,TCS,Very Low,6,257,4,No,Yes,No,sales,low
8/27/2023,Parth Shah,Oracle,Very High,4,246,5,No,Yes,No,sales,low
8/27/2023,Pia Sethi,IBM,Very High,4,233,5,No,Yes,No,sales,low
8/27/2023,Preeti Malik,Cognizant,Very Low,6,218,4,No,Yes,No,accounting,low
8/27/2023,Ragini Gupta,Infosys,Very High,4,262,6,No,Yes,No,accounting,medium
8/27/2023,Rishika Patel,Capgemini,Medium,2,138,3,No,Yes,No,accounting,medium
8/27/2023,Saanvi Choudhury,Wipro,Medium,2,142,3,No,Yes,No,hr,medium
8/27/2023,Samarth Bhatia,TCS,Very High,5,233,5,No,Yes,No,hr,medium
8/27/2023,Shanaya Das,Accenture,Medium,2,155,3,No,Yes,No,hr,medium
8/27/2023,Siya Rastogi,Oracle,Very High,4,229,6,No,Yes,No,hr,medium
8/27/2023,Suhana Menon,Accenture,Very Low,6,264,4,No,Yes,No,technical,medium
8/27/2023,Tanya Agnihotri,IBM,Medium,3,199,4,No,Yes,No,technical,medium
8/27/2023,Trisha Mehta,Cognizant,Very High,4,223,5,No,Yes,No,technical,medium
